日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/01/04,"3,564,019","16,956,319",4.80,4.84,4.68,4.69,-0.09,924
105/01/05,"2,504,182","11,692,096",4.69,4.74,4.62,4.63,-0.06,752
105/01/06,"4,528,184","20,886,563",4.63,4.69,4.57,4.60,-0.03,"1,073"
105/01/07,"6,462,223","29,128,814",4.60,4.63,4.45,4.49,-0.11,"1,275"
105/01/08,"3,729,252","16,547,177",4.32,4.49,4.32,4.49, 0.00,829
105/01/11,"3,993,067","17,609,959",4.50,4.50,4.38,4.38,-0.11,925
105/01/12,"3,106,461","13,593,097",4.41,4.44,4.32,4.36,-0.02,836
105/01/13,"3,815,520","16,617,441",4.36,4.43,4.32,4.34,-0.02,"1,008"
105/01/14,"4,901,078","20,664,350",4.28,4.29,4.18,4.19,-0.15,"1,159"
105/01/15,"3,934,036","16,452,278",4.23,4.25,4.15,4.15,-0.04,913
105/01/18,"3,757,180","15,638,745",4.08,4.30,4.08,4.25,+0.10,885
105/01/19,"4,438,446","19,137,175",4.25,4.38,4.21,4.37,+0.12,"1,270"
105/01/20,"3,720,036","15,965,475",4.35,4.35,4.24,4.25,-0.12,875
105/01/21,"4,062,148","17,206,805",4.22,4.30,4.21,4.22,-0.03,832
105/01/22,"2,434,100","10,438,694",4.26,4.34,4.24,4.29,+0.07,574
105/01/25,"3,145,208","13,643,783",4.34,4.38,4.31,4.34,+0.05,894
105/01/26,"1,980,376","8,510,867",4.33,4.34,4.28,4.29,-0.05,553
105/01/27,"2,009,248","8,655,883",4.30,4.35,4.28,4.29, 0.00,452
105/01/28,"4,074,322","17,544,892",4.29,4.35,4.26,4.34,+0.05,844
105/01/29,"16,910,775","66,121,092",3.91,3.91,3.91,3.91,-0.43,"2,470"
105/01/30,"28,136,231","105,811,471",3.61,3.89,3.60,3.83,-0.08,"4,694"
105/02/01,"27,391,896","100,405,308",3.75,3.78,3.62,3.66,-0.17,"4,153"
105/02/02,"13,314,816","49,567,360",3.64,3.83,3.60,3.77,+0.11,"3,078"
105/02/03,"8,142,344","30,042,118",3.73,3.74,3.66,3.67,-0.10,"1,406"
105/02/15,"5,664,479","20,636,647",3.65,3.67,3.60,3.64,-0.03,"1,427"
105/02/16,"7,428,292","27,607,767",3.67,3.76,3.66,3.75,+0.11,"1,433"
105/02/17,"5,639,860","21,394,629",3.86,3.86,3.75,3.78,+0.03,"1,246"
105/02/18,"5,388,509","20,330,365",3.80,3.82,3.75,3.75,-0.03,"1,246"
105/02/19,"3,914,510","14,751,129",3.75,3.80,3.75,3.80,+0.05,957
105/02/22,"3,650,179","13,777,567",3.80,3.81,3.75,3.76,-0.04,934
105/02/23,"5,027,299","18,901,247",3.79,3.79,3.74,3.76, 0.00,"1,237"
105/02/24,"4,811,154","17,969,999",3.76,3.78,3.71,3.72,-0.04,"1,181"
105/02/25,"5,990,400","22,244,881",3.73,3.75,3.69,3.72, 0.00,"1,214"
105/02/26,"6,100,587","22,782,558",3.71,3.79,3.70,3.78,+0.06,"1,434"
105/03/01,"4,840,271","18,143,879",3.73,3.77,3.73,3.74,-0.04,"1,403"
105/03/02,"11,735,011","44,864,888",3.75,3.85,3.75,3.85,+0.11,"2,346"
105/03/03,"41,880,953","173,347,957",3.92,4.23,3.92,4.23,+0.38,"4,996"
105/03/04,"26,761,306","115,648,744",4.23,4.47,4.13,4.38,+0.15,"5,382"
105/03/07,"12,707,906","55,671,772",4.38,4.45,4.31,4.40,+0.02,"2,977"
105/03/08,"8,368,172","37,039,918",4.48,4.48,4.39,4.42,+0.02,"2,227"
105/03/09,"6,459,266","28,312,292",4.42,4.43,4.34,4.40,-0.02,"1,705"
105/03/10,"11,301,518","50,917,853",4.40,4.57,4.37,4.55,+0.15,"2,814"
105/03/11,"6,608,255","29,645,445",4.57,4.57,4.45,4.45,-0.10,"1,564"
105/03/14,"6,998,559","30,673,860",4.45,4.45,4.35,4.39,-0.06,"1,615"
105/03/15,"8,006,865","34,334,726",4.35,4.43,4.11,4.20,-0.19,"1,733"
105/03/16,"4,271,430","18,455,921",4.23,4.37,4.23,4.32,+0.12,"1,254"
